№,Предложение
2440,"Я, как любой мужчина, обращаю внимание на внешность"
2441,"Может, в чем-то я старомоден, но считаю, что девушку красит скромность"
2442,"Я прошел через многое и не хотел бы, чтобы мой сын пошел на борьбу"
2443,"Если это будет его желание, я помогу, но не облегчу путь"
2444,"Как говорится, хочешь помочь своим детям — научи их выживать"
2445,На ковре легко не бывает
2446,Москва меня приняла не сразу
2447,"Я ее поначалу не понимал: постоянная суета, все куда-то спешат, злятся"
2448,Я видел только спортзал и кровать
2449,"А потом стало получше, открылись какие-то двери, появились новые возможности"
2450,"Сейчас я очень люблю этот город, почти как родную Гудауту"
2451,"Как только въезжаю в Абхазию, будто попадаю в свой большой дом, где только родные лица, сразу весь груз падает с плеч, обо всем забываешь"
2452,Это такой бархатный кайф
2453,Страна души — точное описание нашей Абхазии
2454,"Принято считать, что спортсмены носят только «спортивки» — это точно не про меня"
2455,Люблю ходить по магазинам
2456,"Но иногда бывает и по-другому: куплю 3–4 вещи, положу их куда-нибудь и найду только через год"
2457,"Не люблю открываться, для меня это не по-мужски"
2458,"Если произошла неудача, мне не нужна ничья поддержка, в такие моменты хочется побыть одному"
2459,"Когда я сделаю выводы, то могу позвонить отцу или близкому другу"
2460,"Как бы ни было тяжело, думаю, мужчина должен сдерживать свои эмоции"
2461,"Последний раз я не выдержал год назад, когда не стало моего близкого друга Бесика Худукова"
2462,"Когда меня никто не видел, я не смог сдержать слез"
2463,"Я не могу извиняться, даже когда знаю, что не прав"
2464,И эта черта очень злит меня
2465,"Иногда думаешь, что здесь такого, подойди и просто скажи: «Извини», но нет!"
2466,"Упрешься, как баран, и все!"
2467,"В людях я ценю честность и порядочность, а еще для меня важно, когда говорят в лицо, а не за спиной"
2468,"У меня есть два-три друга, которых я ценю за это"
2469,"Когда я проиграл на Олимпиаде в Лондоне, мир для меня остановился"
2470,"Вышел с ковра и не знал, куда идти, что делать"
2471,"Даже в страшном сне не мог представить, что могу проиграть"
2472,После Олимпиады я восемь месяцев вообще не приходил в зал
2473,"Но опускать руки — не мужское дело, и позже я заново приступил к тренировкам"
2474,"Меня очень поддержали дома, на родине"
2475,"Мне показали, что все нормально"
2476,Это мне помогло
2477,"В Абхазии меня встретили все — и президент, и люди"
2478,Как будто я занял первое место
2479,"Но в глубине души я все время помнил, что проиграл"
2480,"Многие специалисты и сам Барроуз (Джордан Барроуз – американский борец вольного стиля– Примред) утверждали, что он непобедим, и никто не может подобрать к нему ключи"
2481,Это меня очень сильно мотивировало
2482,"Я хотел показать, что так не думаю, и я это сделал"
2483,Победа на чемпионате мира была для меня очень важна
2484,"Я не чувствовал себя отомщенным за Олимпиаду, но удовлетворение получил"
2485,Я всегда анализирую своего соперника
2486,"Есть люди, с которыми я на тренировках ничего не мог сделать — они были сильнее меня по всем параметрам, а на соревнованиях смотришь на них спокойно"
2487,"Видишь, что он волнуется, горит, и ты понимаешь, где его слабое место"
2488,"Когда поднимаешься на пьедестал, не сразу понимаешь, что ты победитель"
2489,Такие эмоции не описать одним словом
2490,"Ты ложишься никем, а утром просыпаешься чемпионом"
2491,Я спокойно отношусь к своим успехам
2492,"Ведь, чем сильнее взлетишь, тем больнее падать"
2493,"Самый кайф в том, что я всего добился сам и всему знаю цену"
2494,"Никому никогда в рот не смотрел, и не ждал ни от кого помощи"
2495,"Моя мечта — построить дворец спорта в Абхазии, не только для борцов, но и для других спортсменов"
2496,"Я ездил по селам и видел много талантливых ребят, которые в миллион раз лучше меня"
2497,"Уверен, они добьются больших результатов"
2498,"Очень хочу им помочь, потому что знаю, как это тяжело — добиваться всего самому"
2499,Сейчас моя главная цель — Олимпиада-2016
2500,"Мои родители были спортсменами: мама занималась велоспортом, отец тренировал велосипедистов"
2501,"А меня решили отдать в теннис, поскольку в Санкт-Петербурге на Крестовском острове, где мы тогда жили, было много кортов"
2502,"В детстве я была озорной пацанкой, так как росла с мальчишками"
2503,"Мы жили в спортивном интернате с родителями, где тренировалась команда отца"
2504,Иногда в 7 утра я бегала с ними кроссы
2505,"Ребята всегда подходили ко мне и спрашивали, как у папы настроение"
2506,"Я говорила, например: «Нет, сегодня лучше к нему не подходить»"
2507,Я была как бы их разведчиком
2508,"Когда в 14−15 лет я улетела тренироваться в Испанию, вдалеке от дома было тяжело − другой язык, другой менталитет"
2509,Но пришлось ко всему привыкнуть
2510,Папа очень редко меня хвалит
2511,"Обычно он критикует, потому что хочет, чтобы я стремилась стать лучше"
2512,Отец никогда не был ни на одном моем матче
2513,"Как-то я его приглашала на финал Ролан Гарроса, но он отказался, так как считает, что может испортить удачу"
2514,"Думаю, он суеверный"
2515,"А мама была бы не против, но это уже сложно для меня, потому что я вижу, как сильно она переживает, и волнуюсь за нее больше, чем за матч"
2516,"Если занимаешься серьезно каким-то спортом, как правило, на другое времени уже не остается"
2517,"Теннис подарил мне возможность жить в лучших городах мира, таких как Москва, представлять достойно свою страну в мировом спорте и завоевывать новые вершины"
2518,"Когда ты побеждаешь, выигрываешь значимые турниры, тебя уважают, за тебя болеют"
2519,Это всегда приятно
2520,"Кроме того, у меня есть возможность помогать друзьям и близким, ну и иметь какую-то материальную свободу"
2521,Финансы всегда несут в себе свободу
2522,"Они могут не принести счастья, но свободу и много возможностей, конечно, дают"
2523,"Я не транжира, но если ты можешь себе позволить что-то особенное, то почему бы и нет?"
2524,"Конечно, тяжелее всего пережить поражения на больших и важных турнирах, происходит упадок, какая-то апатия два-три дня, а потом начинаешь возвращаться в свой обычный ритм"
2525,Я очень ранимая
2526,"У меня вызывают слезы беспомощные старики, бездомные животные, какой-нибудь трогательный романтичный фильм"
2527,Это вообще классика жанра
2528,"Ненавижу прощаться, поэтому иногда просто ухожу по-английски"
2529,"Очень тяжело понимать, что будешь скучать по человеку, а остаться с ним не можешь"
2530,"Не могу сказать, что я любитель экстрима"
2531,"Мне так нравится жизнь, что я не хочу ею рисковать"
2532,"Мне гораздо приятнее сделать барбекю дома, пригласить друзей, пойти со знакомыми поиграть в тот же теннис или в баскетбол"
2533,Меня немного пугает высота
2534,"Я не боюсь летать, но прыжки с тарзанкой − вообще не мое"
2535,"Мечтаю научиться играть на гитаре, на мотоцикле научится ездить, в общем, планов много, а времени нет"
2536,"В мой идеальный день с утра я позанималась бы, немного подвигалась, а потом собралась бы с друзьями, взяла собаку с собой и поехала бы гулять в парк или кататься на лодке"
2537,"У меня этого в жизни было очень мало, только тренировки, тренировки, тренировки…"
2538,"Думаю, что счастье исходит изнутри, но описать его конкретными понятиями сложно"
2539,"Например, я счастлива оттого, что делаю свое дело хорошо, если выиграла важный турнир"
2540,"Это такое внутреннее ощущение, которого мне будет не хватать, когда я закончу карьеру"
2541,"Разумеется, счастье − это иметь здоровых родителей и близких, хороших друзей"
2542,Банальные вещи делают меня счастливой
2543,"Всегда можно искать большее, но нужно полюбить сначала то, что у тебя есть"
2544,Мне нравится красиво одеваться
2545,"Когда я переехала в Москву, начала обращать внимание на моду, а вот испанцы очень далеки от стиля и вкуса, это не про них"
2546,"Женщины у них редко заходят в салоны, у нас это обыденность, у них как праздник"
2547,"Я хочу выглядеть на корте красиво и достойно, но не пользуюсь косметикой"
2548,"Во-первых, кожа портится, а во-вторых, когда ты играешь, начинаешь потеть и все это размазывается по лицу"
2549,"Мне важна одежда, в которой я играю, я участвую в разработке дизайна своих костюмов"
2550,"У людей столько всего в жизни меняется − появляются дети, семьи, а у меня мячик все того же цвета, корт тех же размеров, только континенты меняются и результаты"
2551,"Я часто думаю о том, чем хотела бы заниматься после спорта, мыслей много"
2552,"Конечно, я хочу семью, дом"
2553,"Домашний очаг − это как раз то, чего у меня не было в детстве, потому что все были заняты спортом"
2554,Мне хотелось бы это создать
2555,"А также помогать российскому теннису, поскольку я прошла этот путь и знаю, каких ошибок можно избежать"
2556,Любовь — это не подчинение
2557,У нас многие путают преданность с подчинением
2558,"Это – верность, преданность и надежность"
2559,"Я понимаю, что после замужества мне придется кардинально поменять свою жизнь"
2560,Сейчас я живу сама по себе и делаю что хочу
2561,Никогда не думала о свадьбе
2562,"Я верю в судьбу, что все будет так, как должно быть"
2563,Больше всего со стороны мужчины боюсь предательства
2564,"Если ты выходишь замуж и говоришь, что готова прожить всю жизнь рядом с ним, тебе просто хочется иметь тыл"
2565,"По-моему, главное в семье – это взаимоуважение"
2566,"Мне не нужен миллионер, но мужчина не будет себя чувствовать комфортно рядом со мной, зарабатывая меньше, чем я"
2567,"Если бы моя ракетка умела говорить, она сказала бы мне: «Слушай, это же не моя проблема, что ты в корт не попала!» или пожелала бы мне удачи и сказала, что она со мной"
2568,"Напишу о себе: я люблю одиночество,уединение, люблю заниматься своими делами, увлечениями"
2569,"В периоды,когда я ни с кем не встречаюсь,я счастлива так же ,как и в периоды встреч с мужчинами"
2570,"Знаю, что таких как я мало, так как большинство вроде не любят одиночество и любят быть постоянно со своим любимым"
2571,"А мне достаточно совместно проведенных выходных, вечеров и ночёвок 2 раза в неделю"
2572,"И это не значит, что я его не люблю, просто ещё больше я люблю себя и своё желание уединения"
2573,"Уединение это не значит постоянное сидение дома,нет это просто время без своего МЧ, время с подругами или посещение одной различных мероприятий и тд"
2574,"А потом, придя поздно домой,я счастлива, что мне никто не мешает,что могу помолчать и делать дома всё что хочу"
2575,Это что касается свободных вечеров без МЧ
2576,"Я не плачусь в подушку,что вот ,типа как же я это вечер одна,без мужчины"
2577,Поэтому мне смешно читать тут об этом
2578,"Я ни разу не плакала ни в свободные от мужчины вечера,ни в периоды, когда вообще ни с кем не встречалась"
2579,Путешествовать я тоже люблю одна
2580,"И ещё: в своей жизни мне приходилось отказывать мужчинам,в которых я была влюблена ,но которые хотели традиционную семью : вместе все вечера и обязательно желание детей в браке"
2581,Мне это не подходило
2582,"Так что потом я нашла для себя идеальный вариант: мужчина-чайлдфри,интроверт,тоже любящий уединение"
2583,"Мы друг другу не надоедаем ,видимся не часто, но при этом счастливы"
2584,"Как и все девочки, в детстве я мечтала быть принцессой, певицей или моделью"
2585,"Потом, лет в шесть, я уже начала основательно заниматься музыкой, участвовала в фестивалях и вокальных конкурсах"
2586,"Я росла в Болгарии, там почти не было музыкальных школ, поэтому я брала индивидуальные уроки музыки"
2587,"Позднее, когда моя семья переехала в Москву, занятия стали серьезнее, и в 12 лет я поступила в эстрадную студию"
2588,"Мой путь в шоу-бизнесе начался с проекта «Фабрика звезд», мне тогда было 16 лет"
2589,"То, что я была там, – заслуга моих родителей, они всегда мечтали о том, чтобы я пела"
2590,"Моя мама всю жизнь мечтала быть певицей, но у нее как-то не сложилось, поэтому мечту воплотила я"
2591,"Наверное, моя карьера – это ее нереализованные амбиции"
2592,"Если бы не родители, я не пошла бы на кастинг, просто не поверила бы, что можно вот так прийти с улицы и попасть на большой проект Первого канала"
2593,"Мой отец всегда говорит мне правду в лицо, какой бы она ни была"
2594,"Помню, пару раз на «Фабрике звезд» он мне говорил, что я не очень хорошо спела или плохо двигалась"
2595,"Естественно, меня это сильно обижало, в какой-то момент я даже впала в депрессию"
2596,Но меня тогда поддержали педагоги проекта
2597,"Помню, как Лина Арифулина (51) проводила с папой профилактическую беседу, что начинающему исполнителю нельзя так категорично делать замечания"
2598,"На самом деле, у меня очень добрый папа, и критиковал он меня только из благих намерений"
2599,На «Фабрике звезд» было трудно постоянно жить под камерами
2600,"Вначале все это тебя забавляет, а потом начинаешь от этого уставать и не можешь расслабиться"
2601,Ты не можешь плохо выглядеть и поваляться на диване лишнюю минутку
2602,"На публичном проекте ты должна думать о каждом своем шаге, чтобы потом он отрицательно не отразился на твоем имидже"
2603,Мне в мои 16 лет совсем не хотелось об этом думать
2604,Но это колоссальная школа
2605,"Помню, что к середине проекта мне стало действительно физически тяжело"
2606,"По телевизору только и делали, что показывали, как мы лежим на диване, скрывая то, как мы пахали до и после этого"
2607,"У нас был очень жесткий график, мы вставали в восемь утра и ложились глубокой ночью"
2608,За три месяца я ни разу не выспалась
2609,"Но потом рубеж был пройден, открылось второе дыхание"
2610,На период «Фабрики звезд» у меня был подписан контракт с Максимом Фадеевым (47)
2611,"Но мы не стали его продлевать, потому что я хотела поработать с другими людьми, а у Макса тогда возникли проблемы со здоровьем"
2612,"Спустя какое-то время он предлагал мне участвовать в одном проекте, я почему-то отказалась, хотя потом очень жалела"
2613,А сейчас уже не жалею ни о чем
2614,"Кроме того, Максим был против того, чтобы я училась, он считал, что я не смогу совмещать сцену с учебой"
2615,"Тогда контракты заключались, как правило, на семь лет, и я понимала, что это те самые семь лет, которые следует отдать высшему образованию"
2616,"Сейчас мы не общаемся, но я всегда поздравляю его с днем рождения"
2617,В 18 лет я собиралась замуж
2618,"Мой жених на тот момент был против, чтобы я пела"
2619,"Я была очень влюблена, юна, глупа"
2620,"Все ради него бросила, и в итоге замуж за него не вышла, мы расстались"
2621,В 5sta family я попала совершенно неожиданно
2622,На момент нашего знакомства я работала в журнале YES!
2623,"Пару раз я брала у ребят интервью, а когда из группы ушла солистка Лоя (26), они позвонили мне"
2624,"Вопрос был срочный, и решение нужно было принять очень быстро"
2625,Тогда я решилась снова петь
2626,Недавно к нам в группу пришла Лера Козлова (27)
2627,"В какой-то момент мы поняли, что нам надо меняться, потому что мы застряли на одном уровне"
2628,"Да, он хороший и стабильный, но нужно двигаться дальше"
2629,"Когда появляется новый человек, группа обретает свежий вид и звучание"
2630,Появляется больше идей
2631,"И мы тепло ее встретили, поначалу просто подшучивали, но без издевки"
2632,Дедовщины не было
2633,"Я слежу за комментариями поклонников нашей группы, читаю их мнения"
2634,На приход Леры реагировали по-разному
2635,"У нее много поклонников еще со времен работы в группе «Ранетки», а это целая армия девочек"
2636,Они встрепенулись и следят теперь за творчеством нашей группы
2637,Какие-то поклонники выражали недовольство
2638,"Наверное, это нормально"
2639,Ведь они привыкли видеть определенный состав
2640,"Помню, когда я пришла в 5sta family, многие тоже не могли понять, что вообще происходит"
2641,"Поначалу всегда проявляется отрицание, но потом все привыкают"
2642,Это нормально
2643,Я хорошо общаюсь со многими артистами из российского шоу-бизнеса
2644,"Но если говорить о близком круге, то я дружу с Бьянкой (29) и Наташей Подольской (33), со Степой Ледковым (28) из группы «Марсель», Егором Кридом (21) и Димой Биланом (33)"
2645,"Это здорово, когда рядом есть друзья, которые могут после прослушивания песни не просто сказать «О, круто!», но и дать профессиональный совет"
2646,Я большая поклонница Джастина Тимберлейка (34)
2647,Он очень крутой!
2648,"И если бы когда-нибудь он спел со мной дуэтом хотя бы пару строчек, то я была бы на седьмом небе от счастья"
2649,"Я объективно себя оцениваю и понимаю, что пока не обладаю какими-то сверхъестественными актерскими способностями"
2650,"Но если когда-нибудь мне предложат роль, то я буду рада попробовать себя в кино"
2651,Все равно это интересный опыт
2652,Но ни в коем случае я не делала бы это с претензией на какую-то серьезную актерскую работу
2653,Я работаю сейчас над сольным альбомом и делаю упор на сольное творчество
2654,"Наверное, пока рано говорить о том, как люди воспринимают меня"
2655,"К тому же в России показателем успешности исполнителя является не количество продаж, а посещаемость концертов"
2656,Моя сольная песня «Ты не такой» занимает первую строчку в российском iTunes и является самой продаваемой песней июля
2657,Для меня это невероятный и очень неожиданный результат!
2658,"Я полюбила Рим еще в детстве, когда бывала там с мамой"
2659,Поэтому вопрос поиска места съемок клипа отпал сам собой
2660,"Атмосфера города мне нравится настолько, что я не могу ходить по его улицам без улыбки"
2661,Я там счастливый идиот
2662,Я частый гость светских мероприятий
2663,"Не буду врать, есть ряд таких событий, на которые нужно ходить, потому что ты хочешь поговорить там с определенными людьми"
2664,"Но как правило, я это делаю ради своего удовольствия"
2665,"Ведь там много моих друзей, с которыми я могу отлично провести время"
2666,"Когда я сильно устаю, то хочется поплакать, пожалеть себя"
2667,"Раньше я довольно часто плакала, потому что была была очень чувствительным человеком и могла расплакаться, если мне скажут что-то обидное"
2668,"Со временем, видимо, характер закалился"
2669,"К сожалению, я не очень дисциплинированный человек и потому не пунктуальна"
2670,Но на интервью не опоздала!
2671,Я легкий человек и быстро нахожу общий язык с каждым
2672,И еще я очень упрямая
2673,"В каких-то ситуациях это помогает, но иногда и сильно мешает"
2674,"Упрямство доходит до принципа, я понимаю, что это неправильно и глупо"
2675,"Наверное, это потому, что по гороскопу я Телец"
2676,"Я не бьюти-маньяк и никогда не была у косметолога, хотя, наверное, уже надо бы"
2677,Но дома я люблю делать маски
2678,У меня их колоссальное количество
2679,Половина моей ванной комнаты занята многочисленными баночками
2680,"Например, недавно я прилетела из Нью-Йорка, и половина моего багажа состояла из кремов и масок"
2681,"Очень люблю косметику американского бренда Origins, Glamglow, Laura Mercier, Becca"
2682,"Я не склонна к полноте, но у меня есть один-два гуляющих килограмма"
2683,"Если мне надо экстренно похудеть, то я занимаюсь бегом"
2684,Мне это очень помогает
2685,Одно время я занималась йогой
2686,И это тоже очень правильная нагрузка
2687,"Если заниматься йогой хотя бы два-три раза в неделю, то через месяц тело приобретет фантастические формы"
2688,"Чтобы добиться фигуры своей мечты, любую физическую нагрузку нужно дополнять правильным питанием"
2689,"Это даже не диета, а правильное спортивное питание"
2690,"Еще лет в 16 я поняла, что если буду продолжать запивать шоколадные батончики газировкой, то моему здоровью и физической форме придет конец"
2691,Поэтому уже тогда я отказалась от шоколадок и газировки
2692,"Я часто перекусываю орешками, всегда вожу с собой в машине мюсли, ягоды годжи, сухофрукты"
2693,Сейчас везде можно купить здоровую пищу
2694,В моем рационе нет свинины
2695,"Не люблю это мясо, мне от него как-то нехорошо"
2696,Еще не ем грибы и сырую рыбу
2697,"Если визуально блюдо меня не привлекает, то я не стану его есть"
2698,А так я абсолютно всеядна
2699,Могу даже жареную картошку съесть перед сном
2700,"Я заставляю себя пить побольше воды, потому что, учитывая количество перелетов, вода для меня вообще незаменима"
2701,А также стараюсь есть побольше фруктов и ягод
2702,"Настоящий мужчина, на мой взгляд, должен обладать хорошим чувством юмора"
2703,Я не люблю зануд
2704,"Меня больше привлекают мужчины, которые могут отрываться и отдыхать"
2705,"Мужчина должен быть надежным и не повернутым на себе, а ведь это очень редко встречается сейчас"
2706,"Современный мужчина порой забывает, что рядом с ним девушка и что она хочет быть трогательной и слабой"
2707,"Ну и, конечно, важно, чтобы он был умным"
2708,"Я читаю не так часто, как хотелось бы"
2709,"Раньше моим спасением было метро, где я постоянно ездила с книгой"
2710,"В свое время на меня большое впечатление произвела книга Джона Фаулза «Волхв», я просто не могла от нее оторваться"
2711,Очень советую!
2712,"Я плачу над всеми фильмами, которые хотя бы чуть-чуть предполагают, что над ними нужно плакать"
2713,Мне всегда всех жалко
2714,"Кстати, на днях Егор Крид посоветовал мне посмотреть фильм «Виноваты звезды», сказал, что он его очень тронул"
2715,"Как-то в детстве прочитала книгу «Белый Бим Черное ухо», потом посмотрела фильм"
2716,Целый вечер проплакала!
2717,Я люблю экстрим
2718,"Катаюсь практически на всех досках: серф, скейт, вейксерф, вейкборд, сноуборд"
2719,Как-то прыгала с парашютом и летала на дельтаплане
2720,"Кстати, на дельтаплане мне было страшнее, чем с парашютом, потому что он был такой старый, что чудом не развалился"
2721,А первое ощущение после прыжка с парашютом − хочу еще!
2722,"Недавно прочла интервью Рианны (27), где она сказала, что ее идеальный день – это день, когда она проснется без целлюлита"
2723,"Для меня же это день с любимым человеком, и этот день проходит не в Москве с его суетой"
2724,"У обоих выключены телефоны, и никуда не надо торопиться"
2725,"Детство − это запах зала, объятья мамы и вечное чувство голода, свойственное всем гимнасткам"
2726,"Я была солнечным, добрым восточным ребенком, который очень хотел дружить со всеми"
2727,Но мои глаза всегда были на мокром месте
2728,Я приехала из Башкирии в Волгоград в четыре года
2729,"Так как мое имя – Ляйсан − в принципе необычное, как и моя внешность, дети меня обижали и обзывали, коверкая его"
2730,Поэтому я попросила маму называть меня Леной Бусыновой
2731,"Я всегда мечтала танцевать, творить, слышать аплодисменты, уходя с ковра"
2732,Мне не важны были оценки
2733,"Конечно, я искренне расстраивалась, когда ставили низкие баллы, но по большому счету критерием моего хорошего выступления были овации"
2734,Родители не отдавали меня в спорт
2735,"Тренер сам нашел меня, когда мы с мамой стояли в очереди"
2736,Позже мама использовала этот рычаг любви к большому спорту
2737,"Если я приносила не очень хорошие оценки, она мне всегда говорила, что на тренировку я не пойду, на соревнования не поеду"
2738,Поэтому я все послушно выполняла и училась хорошо
2739,"Для нынешнего поколения Ляйсан Утяшева − это жена Павла Воли, но есть и те кто, помнят меня гимнасткой и знают, что я до «Танцев» 10 лет вела на телевидении разные проекты"
2740,"Сегодня вы чемпион мира, у вас берут автограф, вы на пике успеха, в честь вас звучит гимн"
2741,А завтра вы в гипсе и на костылях
2742,А это может произойти с кем угодно
2743,"И в реальной жизни, и в профессиональной"
2744,У каждого будут свои костыли
2745,"Вопрос в том, что не страшно падать, страшно не подняться"
2746,"Была угроза того, что я не смогу ходить"
2747,"Диагноз был страшным: «ходим в гипсе два года, если кость не срастается после шестой операции, то, скорее всего, будем спиливать и ставить протез в подъемную зону»"
2748,Это прозвучало как приговор
2749,"Я каждый раз закрывала глаза и представляла, как мои кости срастаются"
2750,"В моей другой реальности Ляйсан была на ногах, Ляйсан танцевала"
2751,"И когда через год и восемь месяцев мне сделали томографию, врачи не поверили своим глазам − кость начала срастаться"
2752,"Теперь я точно знаю, что все возможно"
2753,"За этой трагедией была другая, и она чуть длиннее и страшнее – это потеря родного человека, в моем случае мамы"
2754,Есть разные оттенки смерти
2755,Когда человек умирает в больнице − это боль и ужас
2756,"Когда человек умирает от старости − это тоже больно, но есть понимание, что он прожил жизнь"
2757,"Но когда ты держишь на руках человека, который минуту назад дышал, − это страшно"
2758,"Ты перепробовала все – искусственное дыхание, попытки реанимировать"
2759,"В безумии я бежала босая по снегу, потому что скорая не могла найти наш дом… И дальше − пустота"
2760,"Я помню, что падаю, и все"
2761,Как будто ты живешь и не живешь
2762,"Когда рассказываю об этой трагедии, я надеюсь, что люди, которые потеряли близкого человека и находятся в отчаянии или пытались наложить на себя руки, все-таки достанут себя из этого состояния только по одной причине: знайте, что ваш близкий человек, который ушел, меньше всего хотел бы, чтобы вы умирали"
2763,"Это нужно понять всем телом, всем разумом, и, когда наступает самый страшный момент тоски и агонии, надо взять себя в руки"
2764,"Я поняла, что мама очень расстроится и ей не понравится, что я умираю"
2765,"Мама умерла в марте, я осознала это к июлю"
2766,"Никто, увы, не застрахован от подобных ситуаций"
2767,"Рассказывая о своей боли, я хочу, чтобы люди понимали, что нужно беречь близких, пока они живы, и не стесняться говорить им, что вы их любите, как они вам нужны, как вы ими дорожите"
2768,А также не надо забывать звонить своим родителям
2769,"Это чудо, когда вашего звонка ждут"
2770,Я очень скучаю именно по этому
2771,"Надо мной все подтрунивали, что у меня мама директор и я везде с ней хожу"
2772,"Но я настолько гордилась ею и настолько ее любила, что, хотя у меня и была возможность жить отдельно, мы жили вместе"
2773,Я училась у нее мудрости и жизни
2774,У меня были страшные психологические срывы
2775,"Я рожаю Роберта, и в эту же секунду в беспамятстве беру телефон и набираю маму…"
2776,"Да, это страшно"
2777,"Пашка влетает ко мне, обнимает и говорит: «Мась, давай моей маме наберем»"
2778,(Плачет)
2779,Паша всегда нравился моей маме
